response,substitution,
musica,música,
alegria,alegría,
futbol,fútbol,
policia,policía,
arbol,árbol,
rapido,rápido,
dia,día,
carcel,cárcel,
diversion,diversión,
pais,país,
omnibus,ómnibus,
avion,avión,
marron,marrón,
uruguay,Uruguay,
religion,religión,
lapiz,lápiz,
dificil,difícil,
pelicula,película,
pajaro,pájaro,
comunicacion,comunicación,
informacion,información,
vacio,vacío,
corazon,corazón,
energia,energía,
telefono,teléfono,
television,televisión,
tal vez,tal vez,
mamifero,mamífero,
educacion,educación,
union,unión,
accion,acción,
reunion,reunión,
unico,único,
politica,política,
emocion,emoción,
numeros,números,
proteccion,protección,
cafe,café,
util,útil,
pantalon,pantalón,
oir,oír,
cancion,canción,
facil,fácil,
solucion,solución,
atencion,atención,
jardin,jardín,
sabiduria,sabiduría,
matematica,matemática,
oceano,océano,
reir,reír,
comun,común,
pasion,pasión,
ladron,ladrón,
oido,oído,
dias,días,
lider,líder,
atras,atrás,
direccion,dirección,
exito,éxito,
obligacion,obligación,
compañia,compañía,
desafio,desafío,
politico,político,
azucar,azúcar,
investigacion,investigación,
relacion,relación,
vehiculo,vehículo,
despues,después,
estres,estrés,
tunica,túnica,
montevideo,Montevideo,
armonia,armonía,
tecnologia,tecnología,
camion,camión,
vision,visión,
busqueda,búsqueda,
comodo,cómodo,
separacion,separación,
africa,África,
matematicas,matemáticas,
opcion,opción,
tv,TV,
españa,España,
expresion,expresión,
peñarol,Peñarol,
prision,prisión,
construccion,construcción,
fria,fría,
bateria,batería,
imaginacion,imaginación,
aca,acá,
economia,economía,
jesus,Jesús,
paises,países,
razon,razón,
ubicacion,ubicación,
australia,Australia,
camara,cámara,
egipto,Egipto,
facebook,Facebook,
fisica,física,
habitacion,habitación,
interes,interés,
perdon,perdón,
simpatico,simpático,
division,división,
estados unidos,Estados Unidos,
sosten,sostén,
varon,varón,
guia,guía,
organizacion,organización,
simbolo,símbolo,
situacion,situación,
acido,ácido,
organo,órgano,
traicion,traición,
pajaros,pájaros,
